Voltage,Current,Power,Status,Alert,Prediction,Anomaly
215.2,4.76,1024.0,NORMAL,System Normal ✅,Stable,Normal
236.4,5.42,1281.0,WARNING,High Voltage ⚠️,Stable,Normal
231.8,4.45,1032.0,NORMAL,System Normal ✅,Stable,Normal
210.1,5.04,1059.0,NORMAL,System Normal ✅,Stable,Normal
226.2,4.65,1052.0,NORMAL,System Normal ✅,Stable,Normal
235.4,4.51,1062.0,WARNING,High Voltage ⚠️,Stable,Normal
220.9,5.65,1248.0,NORMAL,System Normal ✅,Stable,Normal
217.1,5.19,1127.0,NORMAL,System Normal ✅,Stable,Normal
227.4,4.4,1001.0,NORMAL,System Normal ✅,Stable,Normal
219.0,5.07,1110.0,NORMAL,System Normal ✅,Stable,Normal
236.1,5.69,1343.0,WARNING,High Voltage ⚠️,Stable,Normal
222.8,5.66,1261.0,NORMAL,System Normal ✅,Stable,Normal
239.9,4.19,1005.0,CRITICAL,High Voltage ⚠️,Stable,Normal
225.1,4.72,1062.0,NORMAL,System Normal ✅,Stable,Normal
219.1,5.26,1152.0,NORMAL,System Normal ✅,Stable,Normal
220.2,4.31,949.0,NORMAL,System Normal ✅,Stable,Normal
214.8,4.3,924.0,NORMAL,System Normal ✅,Stable,Normal
236.0,5.59,1319.0,WARNING,High Voltage ⚠️,Stable,Normal
222.8,4.86,1083.0,NORMAL,System Normal ✅,Stable,Normal
216.5,5.0,1082.0,NORMAL,System Normal ✅,Stable,Normal
233.6,5.78,1350.0,NORMAL,System Normal ✅,Stable,Normal
211.3,4.41,932.0,NORMAL,System Normal ✅,Stable,Normal
223.8,5.07,1135.0,NORMAL,System Normal ✅,Stable,Normal
232.7,4.99,1161.0,NORMAL,System Normal ✅,Stable,Normal
233.9,4.4,1029.0,NORMAL,System Normal ✅,Stable,Normal
225.8,5.6,1264.0,NORMAL,System Normal ✅,Stable,Normal
223.9,5.33,1193.0,NORMAL,System Normal ✅,Stable,Normal
224.5,5.8,1302.0,NORMAL,System Normal ✅,Stable,Normal
216.0,5.13,1108.0,NORMAL,System Normal ✅,Stable,Normal
219.3,4.06,890.0,NORMAL,System Normal ✅,Stable,Normal
239.7,5.31,1273.0,CRITICAL,High Voltage ⚠️,Stable,Normal
226.1,4.55,1029.0,NORMAL,System Normal ✅,Stable,Normal
222.2,5.27,1171.0,NORMAL,System Normal ✅,Stable,Normal
235.6,5.43,1279.0,WARNING,High Voltage ⚠️,Stable,Normal
212.5,4.68,994.0,NORMAL,System Normal ✅,Stable,Normal
237.4,5.97,1417.0,WARNING,High Voltage ⚠️,Stable,Normal
234.3,5.68,1331.0,NORMAL,System Normal ✅,Stable,Normal
234.5,5.4,1266.0,NORMAL,System Normal ✅,Stable,Normal
229.2,4.57,1047.0,NORMAL,System Normal ✅,Stable,Normal
222.6,4.09,910.0,NORMAL,System Normal ✅,Stable,Normal
232.0,5.97,1385.0,NORMAL,System Normal ✅,Stable,Normal
213.4,4.83,1031.0,NORMAL,System Normal ✅,Stable,Normal
217.6,5.61,1221.0,NORMAL,System Normal ✅,Stable,Normal
237.9,5.15,1225.0,WARNING,High Voltage ⚠️,Stable,Normal
217.5,4.86,1057.0,NORMAL,System Normal ✅,Stable,Normal
210.6,5.11,1076.0,NORMAL,System Normal ✅,Stable,Normal
233.0,5.79,1349.0,NORMAL,System Normal ✅,Stable,Normal
214.8,4.43,952.0,NORMAL,System Normal ✅,Stable,Normal
231.7,4.62,1070.0,NORMAL,System Normal ✅,Stable,Normal
239.6,4.49,1076.0,CRITICAL,High Voltage ⚠️,Stable,Normal
227.3,5.02,1141.0,NORMAL,System Normal ✅,Stable,Normal
217.9,5.75,1253.0,NORMAL,System Normal ✅,Stable,Normal
224.8,4.48,1007.0,NORMAL,System Normal ✅,Stable,Normal
223.8,5.98,1338.0,NORMAL,System Normal ✅,Stable,Normal
225.1,5.91,1330.0,NORMAL,System Normal ✅,Stable,Normal
237.4,4.98,1182.0,WARNING,High Voltage ⚠️,Stable,Normal
226.8,4.42,1002.0,NORMAL,System Normal ✅,Stable,Normal
220.3,5.77,1271.0,NORMAL,System Normal ✅,Stable,Normal
228.8,5.77,1320.0,NORMAL,System Normal ✅,Stable,Normal
222.5,4.41,981.0,NORMAL,System Normal ✅,Stable,Normal
223.3,4.55,1016.0,NORMAL,System Normal ✅,Stable,Normal
233.6,5.28,1233.0,NORMAL,System Normal ✅,Stable,Normal
223.4,4.58,1023.0,NORMAL,System Normal ✅,Stable,Normal
